,title,price,image
0,Canon EOS M50 Mark II Mirrorless Camera EF-M15-45mm is STM Lens,"₹57,999",https://rukminim2.flixcart.com/image/312/312/knyxqq80/dslr-camera/r/y/x/digital-camera-eos-m50-mark-ii-eos-m50-mark-ii-canon-original-imag2gzkexzqhyhu.jpeg?q=70
1,Canon EOS 200D II DSLR Camera EF-S18-55mm IS STM,"₹56,499",https://rukminim2.flixcart.com/image/312/312/juwzf680/dslr-camera/g/a/q/200d-ii-200d-ii-canon-original-imaffvrhzyqzayys.jpeg?q=70
2,"Canon EOS 3000D DSLR Camera 1 Camera Body, 18 - 55 mm Lens","₹26,999",https://rukminim2.flixcart.com/image/312/312/jfbfde80/camera/n/r/n/canon-eos-eos-3000d-dslr-original-imaf3t5h9yuyc5zu.jpeg?q=70
3,Canon EOS 1500D DSLR Camera Body+ 18-55 mm IS II Lens,"₹36,499",https://rukminim2.flixcart.com/image/312/312/kk01pjk0/dslr-camera/f/v/o/eos-1500d-canon-original-imafzfugydh2mjgf.jpeg?q=70
4,Canon EOS M200 Mirrorless Camera Body with Single Lens (EF-M15-45mm f/3.5-6.3 IS STM),"₹41,162",https://rukminim2.flixcart.com/image/312/312/k1gr2q80/dslr-camera/p/q/m/eos-m200-eos-m200-canon-original-imafhyx2kydnznhg.jpeg?q=70
5,FUJIFILM X Series X-T200 Mirrorless Camera Body with 15-45 mm Lens,"₹61,999",https://rukminim2.flixcart.com/image/312/312/k8g8knk0/dslr-camera/s/g/v/x-t200-x-t200-fujifilm-original-imafqggmvuazabpa.jpeg?q=70
6,FUJIFILM X Series X-T200 Mirrorless Camera Body with 15-45 mm Lens,"₹61,999",https://rukminim2.flixcart.com/image/312/312/k8g8knk0/dslr-camera/w/7/h/x-t200-x-t200-fujifilm-original-imafqggzygaykbzh.jpeg?q=70
7,SONY ILCE-7M4K/BQIN5 Mirrorless Camera Single Lens: 28-70 mm,"₹2,42,990",https://rukminim2.flixcart.com/image/312/312/l08gsy80/dslr-camera/l/9/3/-original-imagc2czygwsfwkr.jpeg?q=70
8,Canon M6 Mark II Mirrorless Camera with 15-45 lens,"₹75,997",https://rukminim2.flixcart.com/image/312/312/k3uhhu80/dslr-camera/m/n/d/eos-m6-mark-ii-canon-original-imafmvz74s9cbbh7.jpeg?q=70
9,NIKON Z 6 Mirrorless Camera Body with 24-70mm Lens and Mount Adapter FTZ,"₹1,74,999",https://rukminim2.flixcart.com/image/312/312/jpa2w7k0/dslr-camera/z/m/5/na-z-6-nikon-original-imafbk4gpzfbgafs.jpeg?q=70
10,FUJIFILM X Series X-E4 Mirrorless Camera Body with XF 27 mm F2.8 R WR Prime Lens,"₹89,999",https://rukminim2.flixcart.com/image/312/312/kmds4nk0/dslr-camera/x/z/2/x-e4-x-e4-fujifilm-original-imagfaztrtdqz5bs.jpeg?q=70
11,POZUB New Arrival Best Buy 3in1 Multi-Purpose Selfie Stick Stand With Dustproof Bag PZB-XT012 Travel T...,₹397,https://rukminim2.flixcart.com/image/312/312/ktx9si80/camera/9/d/e/stand-new-arrival-best-buy-3in1-multi-purpose-selfie-stick-stand-original-imag75xqhmuxvhy5.jpeg?q=70
12,Panasonic G Series DC-G95HGW-K Mirrorless Camera G95 with 14-140mm lens,"₹99,251",https://rukminim2.flixcart.com/image/312/312/jynat8w0/dslr-camera/y/z/g/dc-g95hgw-k-dc-g95hgw-k-panasonic-original-imafgu2j4nauf2na.jpeg?q=70
13,POZUB New Arrival 3in1 Selfie Stick Stand With Dustproof Bag PZB-XT012 Travel Tripod Stand Flexible Ha...,₹397,https://rukminim2.flixcart.com/image/312/312/ktx9si80/camera/t/w/z/stand-new-arrival-3in1-selfie-stick-stand-with-dustproof-bag-pzb-original-imag75x7evgnza7t.jpeg?q=70
14,FUJIFILM X Series X-E4 Mirrorless Camera Body with XF 27 mm F2.8 R WR Prime Lens,"₹89,999",https://rukminim2.flixcart.com/image/312/312/kmds4nk0/dslr-camera/l/r/f/x-e4-x-e4-fujifilm-original-imagfazttxmjtpdx.jpeg?q=70
15,POZUB PUB-42WW NEW ARRIVAL Best Buy Strong Tripod stand + Dustproof Bag with Clip |Tripod stand mobile...,₹341,https://rukminim2.flixcart.com/image/312/312/ktaeqvk0/tripod/tripod/z/c/u/buff42-buy-hot-selling-tripod-stand-with-clip-bag-tripod-stand-original-imag6z5ksvejg6ph.jpeg?q=70
16,NIKON Z5 Mirrorless Camera 24-50 mm,"₹1,24,538",https://rukminim2.flixcart.com/image/312/312/kokdci80/dslr-camera/5/w/6/z-24-50mm-z5-nikon-original-imag2zugmcsgfhf3.jpeg?q=70
17,Panasonic Lumix DMC-GH4 Mirrorless Camera Body with 12-60mm Lens,"₹73,999",https://rukminim2.flixcart.com/image/312/312/k79dd3k0/dslr-camera/m/w/g/lumix-dmc-gh4m-lumix-dmc-gh4m-panasonic-original-imafpjhvgzq5qxgv.jpeg?q=70
18,POZUB 3 in1 Multi-Purpose Bluetooth Extendable Wireless Remote Selfie Stick Tripod Stand + Dustproof B...,₹397,https://rukminim2.flixcart.com/image/312/312/ktx9si80/camera/e/g/b/stand-3-in1-multi-purpose-bluetooth-extendable-wireless-remote-original-imag75y4pybw9dxf.jpeg?q=70
19,Panasonic G Series DC-G95MGW-K Mirrorless Camera Body with Single Lens: 12-60mm lens,"₹90,189",https://rukminim2.flixcart.com/image/312/312/jynat8w0/dslr-camera/m/g/k/dc-g95mgw-k-dc-g95mgw-k-panasonic-original-imafgu2jvfgvqyyy.jpeg?q=70
20,Canon Full Frame Mirrorless EOS R6 Mirrorless Camera Body,"₹2,09,290",https://rukminim2.flixcart.com/image/312/312/khf63680/dslr-camera/z/h/g/digital-camera-eos-r6-eos-r6-canon-original-imafxf4zbdhnz9za.jpeg?q=70
21,NIKON D780 DSLR Camera Body with 24-120 mm,"₹1,83,690",https://rukminim2.flixcart.com/image/312/312/k9oj8280/dslr-camera/p/c/e/d780-d780-nikon-original-imafrexfxntwzhnz.jpeg?q=70
22,NIKON Z7 II Kit Mirrorless Camera 24-70mm F/4S with 64GB UHS-II SD Card,"₹2,73,599",https://rukminim2.flixcart.com/image/312/312/kq9ta4w0/dslr-camera/r/1/y/z7-ii-z7-ii-kit-nikon-original-imag4btqp52rdzgp.jpeg?q=70
23,NIKON D780 DSLR Camera Body Only,"₹1,64,990",https://rukminim2.flixcart.com/image/312/312/k9oj8280/dslr-camera/m/q/v/d780-d780-nikon-original-imafrexfczyughbe.jpeg?q=70
